State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
,,2001 - 2002,"183,317.00","499,169.00",2.72,,
,,2002 - 2003,"180,188.00","476,134.00",2.64,,
,,2003 - 2004,"200,112.00","552,847.00",2.76,,
,,2004 - 2005,"208,765.00","512,651.00",2.46,,
,,2005 - 2006,"178,723.00","453,063.00",2.54,,
,,2006 - 2007,"196,808.00","560,903.00",2.85,,
,,2007 - 2008,"194,880.00","550,146.00",2.82,,
,,2008 - 2009,"191,256.00","571,090.00",2.99,,
,,2009 - 2010,"217,227.00","607,149.00",2.79,,
,,2010 - 2011,"204,691.00","596,470.00",2.91,,
,,2011 - 2012,"199,705.00","649,640.00",3.25,,
,,2012 - 2013,"200,363.00","615,114.00",3.07,,
,,2013 - 2014,"200,048.00","630,351.00",3.15,,
,,2014 - 2015,"212,598.00","395,007.00",1.86,,
,,2015 - 2016,"209,611.00","614,160.00",2.93,,
,,2016 - 2017,"214,079.00","782,673.00",3.66,,
,,2017 - 2018,"195,118.00","716,278.00",3.67,,
,,2018 - 2019,"198,541.00","776,097.00",3.91,,
,,2019 - 2020,"199,331.00","629,487.00",3.16,,
,,2020 - 2021,"200,048.00","773,586.00",3.87,,
,,2021 - 2022,"208,130.00","812,956.00",3.91,,
,,2022 - 2023,"207,246.00","844,527.00",4.07,,
,16. Basti,1997 - 1998,"108,890.00","264,588.00",2.43,,
,,1998 - 1999,"111,471.00","251,920.00",2.26,,
,,1999 - 2000,"111,566.00","300,100.00",2.69,,
,,2000 - 2001,"111,726.00","283,619.00",2.54,,
,,2001 - 2002,"114,281.00","274,123.00",2.4,,
,,2002 - 2003,"113,884.00","236,249.00",2.07,,
,,2003 - 2004,"113,999.00","269,940.00",2.37,,
,,2004 - 2005,"113,947.00","267,202.00",2.34,,
,,2005 - 2006,"101,462.00","232,348.00",2.29,,
,,2006 - 2007,"114,347.00","270,888.00",2.37,,
,,2007 - 2008,"91,668.00","221,837.00",2.42,,
,,2008 - 2009,"112,152.00","311,446.00",2.78,,
,,2009 - 2010,"114,943.00","282,990.00",2.46,,
,,2010 - 2011,"115,598.00","319,744.00",2.77,,
,,2011 - 2012,"116,212.00","365,952.00",3.15,,
,,2012 - 2013,"119,061.00","346,825.00",2.91,,
,,2013 - 2014,"119,033.00","383,048.00",3.22,,
,,2014 - 2015,"119,630.00","253,855.00",2.12,,
,,2015 - 2016,"113,071.00","295,681.00",2.62,,
,,2016 - 2017,"119,425.00","379,652.00",3.18,,
,,2017 - 2018,"119,616.00","471,766.00",3.94,,
,,2018 - 2019,"119,476.00","449,349.00",3.76,,
,,2019 - 2020,"120,160.00","369,252.00",3.07,,
,,2020 - 2021,"119,730.00","425,880.00",3.56,,
,,2021 - 2022,"124,347.00","452,374.00",3.64,,
,,2022 - 2023,"141,055.00","482,549.00",3.42,,
,17. Bijnor,1997 - 1998,"114,073.00","310,899.00",2.73,,
,,1998 - 1999,"114,195.00","290,315.00",2.54,,
,,1999 - 2000,"113,036.00","324,302.00",2.87,,
,,2000 - 2001,"115,900.00","308,876.00",2.67,,
,,2001 - 2002,"108,590.00","320,197.00",2.95,,
,,2002 - 2003,"106,237.00","290,870.00",2.74,,
,,2003 - 2004,"114,543.00","316,007.00",2.76,,
,,2004 - 2005,"111,552.00","297,126.00",2.66,,
,,2005 - 2006,"105,186.00","287,999.00",2.74,,
,,2006 - 2007,"112,729.00","332,889.00",2.95,,
,,2007 - 2008,"108,774.00","318,164.00",2.93,,
,,2008 - 2009,"110,826.00","331,036.00",2.99,,
,,2009 - 2010,"106,194.00","303,821.00",2.86,,
,,2010 - 2011,"111,940.00","341,193.00",3.05,,
,,2011 - 2012,"109,325.00","350,059.00",3.2,,
,,2012 - 2013,"103,369.00","330,057.00",3.19,,
,,2013 - 2014,"147,955.00","488,843.00",3.3,,
,,2014 - 2015,"116,552.00","315,040.00",2.7,,
,,2015 - 2016,"99,699.00","309,067.00",3.1,,
,,2016 - 2017,"148,013.00","511,681.00",3.46,,
,,2017 - 2018,"157,273.00","569,328.00",3.62,,
,,2018 - 2019,"148,627.00","557,500.00",3.75,,
,,2019 - 2020,"145,884.00","510,448.00",3.5,,
,,2020 - 2021,"155,416.00","591,669.00",3.81,,
,,2021 - 2022,"160,351.00","601,797.00",3.75,,
,,2022 - 2023,"152,517.00","577,887.00",3.79,,
,18. Budaun,1997 - 1998,"268,465.00","721,587.00",2.69,,
,,1998 - 1999,"281,397.00","811,227.00",2.88,,
,,1999 - 2000,"283,537.00","830,389.00",2.93,,
,,2000 - 2001,"295,959.00","902,906.00",3.05,,
,,2001 - 2002,"291,734.00","873,953.00",3,,
,,2002 - 2003,"285,781.00","772,859.00",2.7,,
,,2003 - 2004,"300,151.00","882,748.00",2.94,,
,,2004 - 2005,"300,947.00","751,553.00",2.5,,
,,2005 - 2006,"288,649.00","784,259.00",2.72,,
,,2006 - 2007,"283,638.00","848,361.00",2.99,,
,,2007 - 2008,"293,775.00","837,259.00",2.85,,
,,2008 - 2009,"273,380.00","873,996.00",3.2,,
,,2009 - 2010,"311,520.00","1,080,351.00",3.47,,
,,2010 - 2011,"306,477.00","1,040,796.00",3.4,,
,,2011 - 2012,"293,435.00","1,017,926.00",3.47,,
,,2012 - 2013,"230,265.00","765,401.00",3.32,,
,,2013 - 2014,"245,390.00","894,447.00",3.65,,
,,2014 - 2015,"255,586.00","538,009.00",2.11,,
,,2015 - 2016,"251,324.00","711,498.00",2.83,,
,,2016 - 2017,"233,621.00","819,776.00",3.51,,
,,2017 - 2018,"222,879.00","822,869.00",3.69,,
,,2018 - 2019,"226,358.00","880,759.00",3.89,,
,,2019 - 2020,"250,941.00","1,023,839.00",4.08,,
,,2020 - 2021,"232,327.00","907,237.00",3.91,,
,,2021 - 2022,"241,713.00","939,297.00",3.89,,
,,2022 - 2023,"215,342.00","912,619.00",4.24,,
,19. Bulandshahr,1997 - 1998,"170,933.00","610,783.00",3.57,,
,,1998 - 1999,"171,976.00","625,440.00",3.64,,
,,1999 - 2000,"176,610.00","670,049.00",3.79,,
,,2000 - 2001,"181,942.00","688,890.00",3.79,,
,,2001 - 2002,"174,703.00","675,234.00",3.87,,
,,2002 - 2003,"180,736.00","714,495.00",3.95,,
,,2003 - 2004,"186,200.00","662,853.00",3.56,,
,,2004 - 2005,"190,278.00","655,038.00",3.44,,
,,2005 - 2006,"190,249.00","635,051.00",3.34,,
,,2006 - 2007,"178,444.00","672,912.00",3.77,,
,,2007 - 2008,"193,808.00","692,088.00",3.57,,
,,2008 - 2009,"196,585.00","777,887.00",3.96,,
,,2009 - 2010,"195,439.00","725,079.00",3.71,,
,,2010 - 2011,"192,422.00","759,490.00",3.95,,
,,2011 - 2012,"197,682.00","833,427.00",4.22,,
,,2012 - 2013,"193,944.00","781,594.00",4.03,,
,,2013 - 2014,"191,272.00","788,232.00",4.12,,
